country_or_region_id,country_or_region,happiness_score,happiness_score_category,peace_index,peace_index_category,feel_religious,feel_religious_category
1,Afghanistan,3.20,sad,3.57,dangerous,97.00,very_religious
2,Albania,4.72,not_happy,1.82,safe,39.00,not_religious
3,Algeria,5.21,not_happy,2.22,not_safe,95.00,very_religious
4,Argentina,6.09,happy,1.99,safe,65.00,slightly_religious
5,Armenia,4.56,not_happy,2.29,not_safe,73.00,slightly_religious
6,Australia,7.23,very_happy,1.42,very_safe,32.00,not_religious
7,Austria,7.25,very_happy,1.29,very_safe,55.00,slightly_religious
8,Azerbaijan,5.21,not_happy,2.42,dangerous,50.00,slightly_religious
9,Bahrain,6.20,very_happy,2.36,dangerous,94.00,religious
10,Bangladesh,4.46,sad,2.13,not_safe,100.00,very_religious
11,Belarus,5.32,not_happy,2.12,not_safe,34.00,not_religious
12,Belgium,6.92,very_happy,1.53,very_safe,33.00,not_religious
13,Benin,4.88,not_happy,1.99,safe,93.00,religious
14,Bhutan,5.08,not_happy,1.51,very_safe,72.00,unknown
15,Bolivia,5.78,happy,2.04,not_safe,89.00,religious
16,Bosnia and Herzegovina,5.39,happy,2.02,not_safe,77.00,slightly_religious
17,Botswana,3.49,sad,1.68,very_safe,77.00,slightly_religious
18,Brazil,6.30,very_happy,2.27,not_safe,87.00,religious
19,Bulgaria,5.01,not_happy,1.61,very_safe,34.00,not_religious
20,Burkina Faso,4.59,not_happy,2.18,not_safe,88.00,religious
21,Burundi,3.78,sad,2.52,dangerous,98.00,very_religious
22,Cambodia,4.70,not_happy,2.07,not_safe,96.00,very_religious
23,Cameroon,5.04,not_happy,2.54,dangerous,96.00,very_religious
24,Canada,7.28,very_happy,1.33,very_safe,42.00,not_religious
25,Central African Republic,3.08,sad,3.30,dangerous,94.00,religious
26,Chad,4.35,sad,2.52,dangerous,95.00,very_religious
27,Chile,6.44,very_happy,1.63,very_safe,70.00,slightly_religious
28,China,5.19,not_happy,2.22,not_safe,7.00,not_religious
29,Colombia,6.12,happy,2.66,dangerous,83.00,slightly_religious
30,Comoros,3.97,sad,2.08,unknown,97.00,very_religious
31,Congo (Brazzaville),4.81,not_happy,2.08,unknown,72.00,unknown
32,Congo (Kinshasa),4.42,sad,2.08,unknown,72.00,unknown
33,Costa Rica,7.17,very_happy,1.71,very_safe,79.00,slightly_religious
34,Croatia,5.43,happy,1.64,very_safe,70.00,slightly_religious
35,Cyprus,6.05,happy,1.91,safe,75.00,slightly_religious
36,Czech Republic,6.85,very_happy,1.38,very_safe,21.00,not_religious
37,Denmark,7.60,very_happy,1.32,very_safe,19.00,not_religious
38,Dominican Republic,5.42,happy,2.04,not_safe,87.00,religious
39,Ecuador,6.03,happy,1.98,safe,82.00,slightly_religious
40,Egypt,4.17,sad,2.52,dangerous,97.00,very_religious
41,El Salvador,6.25,very_happy,2.26,not_safe,83.00,slightly_religious
42,Estonia,5.89,happy,1.73,safe,16.00,not_religious
43,Ethiopia,4.29,sad,2.43,dangerous,99.00,very_religious
44,Finland,7.77,very_happy,1.49,very_safe,28.00,not_religious
45,France,6.59,very_happy,1.89,safe,30.00,not_religious
46,Gabon,4.80,not_happy,2.11,not_safe,72.00,unknown
47,Gambia,4.52,sad,2.08,unknown,72.00,unknown
48,Georgia,4.52,sad,2.12,not_safe,81.00,slightly_religious
49,Germany,6.98,very_happy,1.55,very_safe,40.00,not_religious
50,Ghana,5.00,not_happy,1.80,safe,95.00,very_religious
51,Greece,5.29,not_happy,1.93,safe,71.00,slightly_religious
52,Guatemala,6.44,very_happy,2.26,not_safe,88.00,religious
53,Guinea,4.53,sad,2.12,not_safe,97.00,very_religious
54,Haiti,3.60,sad,2.05,not_safe,75.00,slightly_religious
55,Honduras,5.86,happy,2.34,dangerous,84.00,religious
56,Hong Kong,5.43,happy,2.08,unknown,24.00,not_religious
57,Hungary,5.76,happy,1.54,very_safe,39.00,not_religious
58,Iceland,7.49,very_happy,1.07,very_safe,72.00,unknown
59,India,4.01,sad,2.60,dangerous,90.00,religious
60,Indonesia,5.19,not_happy,1.78,safe,99.00,very_religious
61,Iran,4.55,not_happy,2.54,dangerous,73.00,slightly_religious
62,Iraq,4.44,sad,3.37,dangerous,84.00,religious
63,Ireland,7.02,very_happy,1.39,very_safe,54.00,slightly_religious
64,Israel,7.14,very_happy,2.74,dangerous,51.00,slightly_religious
65,Italy,6.22,very_happy,1.75,safe,72.00,slightly_religious
66,Ivory Coast,4.94,not_happy,2.08,unknown,88.00,religious
67,Jamaica,5.89,happy,2.04,not_safe,70.00,slightly_religious
68,Japan,5.89,happy,1.37,very_safe,24.00,not_religious
69,Jordan,4.91,not_happy,2.01,safe,96.00,very_religious
70,Kazakhstan,5.81,happy,1.93,safe,43.00,not_religious
71,Kenya,4.51,sad,2.30,not_safe,94.00,religious
72,Kosovo,6.10,happy,2.05,not_safe,72.00,unknown
73,Kuwait,6.02,happy,1.79,safe,91.00,religious
74,Kyrgyzstan,5.26,not_happy,2.08,unknown,72.00,slightly_religious
75,Laos,4.80,not_happy,1.80,safe,97.00,very_religious
76,Latvia,5.94,happy,1.72,very_safe,39.00,not_religious
77,Lebanon,5.20,not_happy,2.80,dangerous,87.00,religious
78,Lesotho,3.80,sad,2.17,not_safe,72.00,unknown
79,Liberia,3.98,sad,1.89,safe,94.00,religious
80,Libya,5.52,happy,3.28,dangerous,72.00,unknown
81,Lithuania,6.15,happy,1.73,safe,42.00,not_religious
82,Luxembourg,7.09,very_happy,2.08,unknown,39.00,not_religious
83,Madagascar,3.93,sad,1.87,safe,93.00,religious
84,Malawi,3.41,sad,1.78,safe,99.00,very_religious
85,Malaysia,5.34,not_happy,1.53,very_safe,96.00,very_religious
86,Mali,4.39,sad,2.71,dangerous,95.00,very_religious
87,Malta,6.73,very_happy,2.08,unknown,86.00,religious
88,Mauritania,4.49,sad,2.33,not_safe,98.00,very_religious
89,Mauritius,5.89,happy,1.56,very_safe,72.00,unknown
90,Mexico,6.60,very_happy,2.60,dangerous,73.00,slightly_religious
91,Moldova,5.53,happy,1.95,safe,72.00,slightly_religious
92,Mongolia,5.28,not_happy,1.79,safe,72.00,unknown
93,Montenegro,5.52,happy,1.94,safe,71.00,slightly_religious
94,Morocco,5.21,not_happy,2.07,not_safe,97.00,very_religious
95,Mozambique,4.47,sad,2.10,not_safe,86.00,religious
96,Myanmar,4.36,sad,2.39,dangerous,97.00,very_religious
97,Namibia,4.64,not_happy,1.89,safe,92.00,religious
98,Nepal,4.91,not_happy,2.00,safe,93.00,religious
99,Netherlands,7.49,very_happy,1.53,very_safe,33.00,not_religious
100,New Zealand,7.31,very_happy,1.22,very_safe,33.00,not_religious
101,Nicaragua,6.10,happy,2.31,not_safe,84.00,religious
102,Niger,4.63,not_happy,2.39,dangerous,100.00,very_religious
103,Nigeria,5.26,not_happy,2.90,dangerous,96.00,very_religious
104,North Macedonia,5.27,not_happy,1.93,safe,72.00,unknown
105,Northern Cyprus,5.72,happy,2.08,unknown,72.00,unknown
106,Norway,7.55,very_happy,1.54,very_safe,21.00,not_religious
107,Pakistan,5.65,happy,3.07,dangerous,92.00,religious
108,Palestinian Territories,4.70,not_happy,2.08,unknown,72.00,unknown
109,Panama,6.32,very_happy,1.80,safe,88.00,religious
